"","type","dataverse","classifier","specification","preprocessing","tested_class","alternative_class","accuracy","aucroc","precision","recall","f1","sd_accuracy","sd_aucroc","sd_precision","sd_recall","sd_f1","ent","sd_ent","classifier_rf","classifier_rf_rag","classifier_ds","classifier_sm","dataverse_full","dataverse_gtca","dataverse_gtall","dataverse_srca","dataverse_srall","type_allvall","type_onevall","type_onevone","specification_cls","specification_mean","specification_MAX","specification_def","specification_ex","specification_both","preprocessing_none","preprocessing_pre","preprocessing_norm","preprocessing_top200","onevone_casi","onevone_caen","onevone_cagm","onevone_ensi","onevone_engm","onevone_sigm","onevall_ca","onevall_si","onevall_en","onevall_gm","allvall_ca","allvall_si","allvall_en","allvall_gm","One vs. One","One vs. All","All vs. All"
"954","One vs. One","SR different baseline","Random Forest","CLS","None","EN","SI",0.683809523809524,0.766666666666667,0.5,0.233333333333333,0.313333333333333,0.0831358203535055,0.180662361572323,0.5,0.223606797749979,0.301477841455867,0.483339702393934,0.00958357659693425,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN vs. SI",NA,NA
"955","One vs. One","GT different baseline","Top-5 Similarity","CLS","None","SI","GM",0.784965034965035,0.682592592592593,0,0,0,0.0313225050125331,0.100833290820656,0,0,0,0.534040541324834,0.0219913428635053,NA,NA,NA,"●",NA,"●",NA,NA,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"956","One vs. One","GT different baseline","Top-5 Similarity","CLS","None","GM","SI",0.784965034965035,0.682592592592593,0.784965034965035,1,0.879254658385093,0.0313225050125331,0.100833290820656,0.0313225050125331,0,0.019605105745435,0.727460249012177,0.023118736687881,NA,NA,NA,"●",NA,"●",NA,NA,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"957","One vs. One","SR different baseline","Deepseek R1","Definitions","None","SI","GM",0.564285714285714,0.554818594104308,0.603333333333333,0.385714285714286,0.458888888888889,0.0692116278749935,0.0458796833217529,0.108269211792745,0.140254061666887,0.129552887336732,0.502383400577037,0.00565748636750002,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"958","One vs. One","SR different baseline","Deepseek R1","Definitions","None","GM","SI",0.564285714285714,0.554818594104308,0.547222222222222,0.742857142857143,0.626190476190476,0.0692116278749935,0.0458796833217529,0.0515949322805742,0.14521857792359,0.0795706662640525,0.505581009255643,0.00939839538960103,NA,NA,"●",NA,NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"959","One vs. One","SR different baseline","Mean Top-5 + Random Forest","CLS","None","SI","GM",0.652747252747253,0.515,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0902337663664886,0.0223606797749979,0.149071198499986,0.149071198499986,0.149071198499986,0.56115677869167,0.0285350828727054,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"960","One vs. One","SR different baseline","Mean Top-5 + Random Forest","CLS","None","GM","SI",0.652747252747253,0.515,0.711448551448551,0.88,0.783188405797101,0.0902337663664886,0.0223606797749979,0.0588675950511997,0.130384048104053,0.0687191912217833,0.698077845607657,0.0494247989039732,NA,"●",NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"961","One vs. One","SR different baseline","Random Forest","CLS","None","SI","GM",0.753846153846154,0.606666666666667,0.4,0.1,0.16,0.036735197033949,0.14183813152871,0.547722557505166,0.136930639376292,0.219089023002066,0.501888104710872,0.012288270639356,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"962","One vs. One","SR different baseline","Random Forest","CLS","None","GM","SI",0.753846153846154,0.606666666666667,0.747252747252747,1,0.855072463768116,0.036735197033949,0.14183813152871,0.0300946460167674,0,0.0198450201994626,0.653192739970264,0.0239242166668679,"●",NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
"963","One vs. One","GT different all","Top-5 Similarity","CLS","None","SI","GM",0.792727272727273,0.692361111111111,0,0,0,0.0377026206424141,0.13388557510883,0,0,0,0.548413952391991,0.0205337970355434,NA,NA,NA,"●",NA,NA,"●",NA,NA,NA,NA,"●","●",NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"●",NA,NA,NA,NA,NA,NA,NA,NA,"GM vs. SI",NA,NA
